lat,long,nombre_act,nom_estab,raz_social,per_ocu,tipo_vial,nom_vial,edificio,edificio_e,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,AGEB_int,geohash5km,tipoUniEco,fecha_alta
25.78220416,-100.2664495,Restaurantes con servicio de preparación de tacos y tortas,TAQUERIA LOS CAMPEONES,,0 a 5 personas,CALLE,VALLE DE LOS ENCINOS,,,COLONIA,VALLE DE LAS PALMAS,,,,66415,19,NuevoLeon,6,Apodaca,1,Ciudad Apodaca                                                                                                ,1280,22,1.90E+12,9u8dw,Fijo,2010-07
25.95090308,-100.1697576,"Bares, cantinas y similares",RESTAURANTE BAR LA ESPECIAL,,0 a 5 personas,AVENIDA,INDEPENDENCIA,,,PUEBLO,CENTRO,,,,65550,19,NuevoLeon,12,Ciénega de Flores,1,Ciénega de Flores                                                                                             ,63,14,1.90E+12,9u8g8,Fijo,2019-11
25.64804212,-100.297603,Restaurantes que preparan otro tipo de alimentos para llevar,COMIDAS CASERAS LUNA,,0 a 5 personas,CALLE,MARIA CURIE,,,COLONIA,ROMA SUR,,,,64740,19,NuevoLeon,39,Monterrey,1,Monterrey                                                                                                     ,2082,38,1.90E+12,9u89v,Semifijo,2019-11
25.78577348,-100.376703,Restaurantes con servicio de preparación de antojitos,VENTA DE GORDITAS,,0 a 5 personas,CALLE,CASA DEL OBRERO MUNDIAL,,,COLONIA,CROC,,,,64200,19,NuevoLeon,39,Monterrey,1,Monterrey                                                                                                     ,3983,6,1.90E+12,9u8de,Semifijo,2019-11
25.87922795,-100.0302074,Restaurantes con servicio de preparación de antojitos,GORDITAS MARIN,,0 a 5 personas,CALLE,MIGUEL HIDALGO Y COSTILLA,,,MANZANA,MARIN,,,,66700,19,NuevoLeon,34,Marín,1,Marín                                                                                                         ,60,1,1.90E+12,9u8g5,Fijo,2019-11
25.69343037,-100.3316904,Restaurantes que preparan otro tipo de alimentos para llevar,ANTOJITO MEXICANOS,ANTOJITOS MEXICANOS ,0 a 5 personas,CALLE,JOSE JUSTO CORRO,,,COLONIA,10 DE MARZO,,,,64485,19,NuevoLeon,39,Monterrey,1,Monterrey                                                                                                     ,3606,3,1.90E+12,9u8dh,Fijo,2019-11
25.75651969,-100.4035523,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",FRANCHOS RESTAURANTE,,0 a 5 personas,CALLE,REAL CUMBRES,,,COLONIA,REAL CUMBRES,,,,64346,19,NuevoLeon,39,Monterrey,1,Monterrey                                                                                                     ,5087,7,1.90E+12,9u8de,Fijo,2014-12
25.74278741,-100.3888588,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",COOPERATIVA ESCOLAR,,0 a 5 personas,CALLE,VILLA GENOVA,,,COLONIA,MIRADOR DE LAS MITRAS,,,,64348,19,NuevoLeon,39,Monterrey,1,Monterrey                                                                                                     ,4074,18,1.90E+12,9u8d7,Fijo,2019-11
25.63549029,-100.1810598,Restaurantes con servicio de preparación de tacos y tortas,TACOS Y HAMBURGUESAS,,0 a 5 personas,CALLE,JESUS GARCIA,,,COLONIA,HEROE DE NACOZARI,,,,67288,19,NuevoLeon,31,Juárez,45,Jardines de la Silla (Jardines)                                                                               ,92,17,1.90E+12,9u8cb,Semifijo,2010-07
25.58984707,-100.0004754,Restaurantes con servicio de preparación de tacos y tortas,TACOS JHONNY,,0 a 5 personas,CALLE,MUTUALISMO,,,COLONIA,CENTRO,,,,67480,19,NuevoLeon,9,Cadereyta Jiménez,1,Cadereyta Jiménez                                                                                             ,509,1,1.90E+12,9u8cs,Fijo,2019-11
